Command,Symbol,Package,Comment
{,{,,
},},,
&,&,,
#,#,,
%,%,,
|,‖,,
$,$,,
adots,⋰,,
aleph,ℵ,,
alpha,α,,
Alpha,Α,,
angle,∠,,
approx,≈,,
ast,∗,,
backslash,\,,
bagmember,⋿,,
because,∵,,
beta,β,,
Beta,Β,,
beth,ℶ,,
blacksquare,■,,
blacktriangleright,‣,,
bot,⊥,,
bowtie,⋈,,
box,□,,
bumpeq,≏,,
cap,∩,,
cdot,⋅,,
cdots,⋯,,
cent,¢,,
checkmark,✓,,
chi,χ,,
Chi,Χ,,
circ,∘,,
Colon,∷,,
complement,∁,,
cong,≅,,
coprod,∐,,
copyright,©,,
cup,∪,,
cupdot,⊍,,
dagger,†,,
daleth,ℸ ,,
ddagger,‡,,
ddots,⋱,,
delta,δ,,
Delta,Δ,,
diameter,⌀,,
dicei,⚀,,
diceii,⚁,,
diceiii,⚂,,
diceiv,⚃,,
dicev,⚄,,
dicevi,⚅,,
digamma,ϝ,,
Digamma,Ϝ,,
div,÷,,
doteq,≐,,
dottedsquare,⬚,,
downarrow,↓,,
eightnote,♪,,
emptyset,∅,,
epsilon,ϵ,,
Epsilon,Ε,,
eqcolon,∹,,
eqdef,≝,,
equiv,≡,,
Equiv,≣,,
errbarsquare,⧮,,
eta,η,,
Eta,Η,,
Euler,ℇ,,
euro,€,,
Exclam,‼,,
exists,∃,,
flat,♭,,
forall,∀,,
fourth,⁗,,
frownie,☹,,
gamma,γ,,
Gamma,Γ,,
geq,≥,,
geqq,≧,,
gg,≫,,
ggg,⋙,,
gimel,ℷ ,,
hat{},^,,
iiint,∭,,
iint,∬,,
Im,ℑ,,
imath,ⅈ,,
in,∈,,
increment,∆,,
infty,∞,,
int,∫,,
iota,ι,,
Iota,Ι,,
jmath,ⅉ,,
kappa,κ,,
Kappa,Κ,,
lambda,λ,,
Lambda,Λ,,
langle,⟨,,
lceil,⌈,,
leftarrow,←,,
Leftarrow,⇐,,
leftrightarrow,↔,,
Leftrightarrow,⇔,,
leq,≤,,
leqq,≦,,
ll,≪,,
llangle,⟪,,
llbracket,⟦,,
lll,⋘,,
ltimes,⋉,,
maltese,✠,,
mapsto,↦,,
mathbb{0},𝟘,amssymb,
mathbb{1},𝟙,amssymb,
mathbb{2},𝟚,amssymb,
mathbb{3},𝟛,amssymb,
mathbb{4},𝟜,amssymb,
mathbb{5},𝟝,amssymb,
mathbb{6},𝟞,amssymb,
mathbb{7},𝟟,amssymb,
mathbb{8},𝟠,amssymb,
mathbb{9},𝟡,amssymb,
mathbb{B},𝔹,amssymb,
mathbb{C},ℂ,amssymb,
mathbb{d},ⅆ,amssymb,
mathbb{D},𝔻,amssymb,
mathbb{e},ℯ,amssymb,
mathbb{E},𝔼,amssymb,
mathbb{F},𝔽,amssymb,
mathbb{H},ℍ,amssymb,
mathbb{J},𝕁,amssymb,
mathbb{N},ℕ,amssymb,
mathbb{O},𝕆,amssymb,
mathbb{P},ℙ,amssymb,
mathbb{Q},ℚ,amssymb,
mathbb{R},ℝ,amssymb,
mathbb{S},𝕊,amssymb,
mathbb{T},𝕋,amssymb,
mathbb{U},𝕌,amssymb,
